test_number,time,input_encoder,output_encoder,input_gyro,output_gyro,inout_acceleration,output_acceleration,velocity_in
0,8907,1680,76,-8.88,0.81,10.49,13.21,99.42
0,14798,3715,274,-8.81,0.81,10.49,11.20,98.39
0,20495,5832,473,-8.81,0.81,11.74,11.20,96.93
0,26415,7922,682,-8.56,-0.56,8.66,5.79,94.91
0,35357,11167,983,4.00,-3.81,13.56,11.92,90.94
0,45027,14303,1329,24.81,-7.06,17.46,6.92,85.45
0,54776,17273,1635,44.81,-10.13,17.46,12.80,78.72
0,61972,19580,1885,64.06,-10.13,15.59,12.80,73.05
0,67668,21494,2068,64.06,-13.06,13.04,9.38,68.16
0,73453,23349,2255,82.87,-13.06,13.04,9.53,62.86
0,81250,25529,2474,101.19,-16.06,14.48,9.53,55.23
0,89711,27428,2665,101.19,-18.87,12.38,9.79,46.40
0,99204,28826,2795,119.12,-21.44,7.00,8.89,35.92
0,108083,29578,2868,137.12,-23.37,6.32,10.37,25.67
0,114029,29835,2898,155.19,-23.37,6.32,10.37,18.64
0,119941,29893,2907,155.19,-24.56,6.47,9.63,11.55
0,125831,29851,2925,168.06,-25.25,7.21,9.71,4.43
0,134751,29763,2961,175.06,-25.50,8.22,9.58,-6.38
0,143700,29580,2965,177.31,-25.81,8.22,9.40,-17.16
0,152774,29257,2989,176.81,-25.81,8.65,9.70,-27.88
0,160592,29032,2983,176.81,-26.00,7.87,9.70,-36.84
0,166452,28684,2950,175.75,-26.19,7.87,9.18,-43.35
0,172525,28115,2893,173.06,-26.19,11.27,9.18,-49.87
0,180032,27080,2789,173.06,-26.19,7.57,10.08,-57.55
0,189413,25185,2608,170.56,-25.56,6.63,9.40,-66.46
0,198891,22774,2344,165.19,-24.37,6.69,9.83,-74.59
0,207888,20146,2082,154.94,-22.62,8.58,9.10,-81.40
0,214268,18118,1903,139.00,-22.62,8.58,9.10,-85.65
0,220150,16210,1708,139.00,-20.19,14.28,9.63,-89.11
0,226109,14109,1516,120.75,-17.62,14.94,10.38,-92.16
0,234684,11007,1213,102.62,-14.88,16.68,9.83,-95.69
0,243664,7773,902,84.50,-14.88,16.68,9.95,-98.28
0,252748,4635,517,66.00,-11.75,15.55,7.66,-99.71
0,260623,1732,202,46.81,-8.63,13.29,7.66,-99.98
0,266323,-324,33,46.81,-8.63,13.29,9.62,-99.60
0,272292,-2486,-159,26.75,-5.06,9.96,9.62,-98.70
0,279672,-5118,-402,26.75,-1.44,7.29,11.34,-96.86
0,288203,-8258,-723,5.75,1.50,3.36,8.50,-93.78
0,295899,-11078,-993,-16.06,4.50,3.93,8.09,-90.13
0,305008,-14444,-1362,-38.44,4.50,3.93,9.94,-84.81
